Movie 1,Movie 2,Support,Confidence,Lift
Captain America,Black Panther,0.0033476164970540974,0.24509803921568626,5.141551002423442
Game of thrones,Comedy nights with Kapil,0.0032137118371719335,0.20512820512820512,3.1010069552579673
Kanan Gill Comedy,Comedy nights with Kapil,0.008034279592929834,0.27149321266968324,4.104273911370839
Game of thrones,Prision Break,0.0045527584359935725,0.29059829059829057,4.833380922467781
Harry Potter 1,Harry Potter 2,0.005757900374933048,0.3675213675213675,4.644077111082186
Harry Potter 1,The Lord of the rings,0.005088377075522228,0.32478632478632474,4.525194540119912
crimes of grindelwald,Harry Potter 2,0.005757900374933048,0.30069930069930073,3.79969945452179
Interstellar,inception,0.015934654525977504,0.3216216216216216,3.2634106933019975
The Wolf of Wall Street,inception,0.005356186395286556,0.3773584905660377,3.82895816242822
Back to the Future,The Lord of the rings,0.0032137118371719335,0.2608695652173913,3.63465282284231
Back to the Future,The Intouchables,0.0032137118371719335,0.41379310344827586,3.189068004697342
Billa,The Lion King,0.0030798071772897696,0.2987012987012987,4.348345611503506
Billa,The Intouchables,0.0048205677557579,0.4235294117647059,3.2641048989255146
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.005757900374933048,0.2057416267942584,3.1102803014160356
Billa,The Intouchables,0.004017139796464917,0.5,3.853457172342621
The Lord of the rings,Billa,0.00723085163363685,0.3050847457627119,3.1865354983999055
The Intouchables,Billa,0.004151044456347081,0.2952380952380953,3.0836896436896444
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.006695232994108195,0.23923444976076555,3.482656668252236
Billa,The Lord of the rings,0.004017139796464917,0.24793388429752067,3.454422104354262
Whiplash,The Lion King,0.0033476164970540974,0.23148148148148148,3.3697927947440616
The Lord of the Rings: The Fellowship of the Ring,inception,0.008703802892340653,0.31100478468899523,3.1556844185562722
Billa,The Lord of the rings,0.005356186395286556,0.2325581395348837,3.2401943769524464
The Intouchables,The Shawshank Redemption,0.003749330476700589,0.28,3.202205206738132
The Dark Knight,Comedy nights with Kapil,0.003883235136582753,0.4027777777777778,6.088956365272155
Prision Break,The Intouchables,0.003615425816818425,0.5,3.853457172342621
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0034815211569362613,0.20155038759689922,3.046919624643003
The Dark Knight,Comedy nights with Kapil,0.005222281735404392,0.22674418604651164,3.4277845777233784
Schindler's List,The Intouchables,0.003615425816818425,0.40298507462686567,3.105771452335844
The Intouchables,Comedy nights with Kapil,0.00723085163363685,0.20300751879699247,3.068947672825789
The Lord of the rings,The Intouchables,0.0032137118371719335,0.3934426229508197,3.0322285946302596
The Intouchables,Comedy nights with Kapil,0.004954472415640065,0.22424242424242424,3.389964421543369
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.004418853776111409,0.6111111111111112,3.4971477224350793
The Pianist,Comedy nights with Kapil,0.005088377075522228,0.20105820105820105,3.039479039479039
Game of thrones,The Lord of the Rings: The Fellowship of the Ring,0.0032137118371719335,0.20512820512820512,3.4270636149830778
Gladiator,inception,0.0033476164970540974,0.33783783783783783,3.4279524089306697
Interstellar,inception,0.004151044456347081,0.3297872340425532,3.3462650323774286
Interstellar,inception,0.006695232994108195,0.390625,3.963569972826087
Interstellar,inception,0.003615425816818425,0.391304347826087,3.9704631379962194
Interstellar,inception,0.006427423674343867,0.3934426229508197,3.992159657875981
Interstellar,inception,0.0032137118371719335,0.46153846153846156,4.683110367892977
Interstellar,inception,0.004017139796464917,0.4411764705882353,4.476502557544757
The Lord of the Rings: The Fellowship of the Ring,inception,0.005356186395286556,0.3225806451612903,3.273141654978962
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.004017139796464917,0.4545454545454545,3.503142883947837
The Lord of the Rings: The Fellowship of the Ring,inception,0.0030798071772897696,0.46,4.6675
inception,The Intouchables,0.003883235136582753,0.40845070422535207,3.147894591491155
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,0.003749330476700589,0.5283018867924528,3.023263211161715
Schindler's List,The Intouchables,0.0030798071772897696,0.4423076923076923,3.4088274986107803
The Silence of the Lambs,The Intouchables,0.004017139796464917,0.39473684210526316,3.042203030796806
inception,The Intouchables,0.004017139796464917,0.4109589041095891,3.167225073158319
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.0033476164970540974,0.4166666666666667,3.2112143102855177
The Departed,inception,0.0048205677557579,0.3025210084033613,3.0696017537449762
The Intouchables,The Shawshank Redemption,0.0032137118371719335,0.2823529411764706,3.2291144941897127
The Godfather: Part II,The Shawshank Redemption,0.0030798071772897696,0.2705882352941177,3.0945680569318084
whole wheat Star Wars: Episode V - The Empire Strikes Back,The Lion King,0.0030798071772897696,0.21698113207547168,3.1587038876016034
Whiplash,The Lion King,0.0030798071772897696,0.2072072072072072,3.01641992870063
The Wolf of Wall Street,The Lord of the Rings: The Fellowship of the Ring,0.0030798071772897696,0.21698113207547168,5.511615967141573
Back to the Future,The Lord of the Rings: The Fellowship of the Ring,0.003615425816818425,0.21259842519685038,3.551868097024784
Billa,The Intouchables,0.0033476164970540974,0.29411764705882354,6.11830247419302
The Dark Knight,The Intouchables,0.003749330476700589,0.4117647058823529,3.1734353183998056
Billa,The Intouchables,0.0030798071772897696,0.38333333333333336,7.97418755803157
The Intouchables,Billa,0.0045527584359935725,0.288135593220339,3.0095057484887993
The Dark Knight,The Intouchables,0.004017139796464917,0.4109589041095891,3.167225073158319
Billa,The Intouchables,0.003749330476700589,0.2204724409448819,4.586318075143114
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.0030798071772897696,0.25555555555555554,3.720251245397444
The Lord of the Rings: The Fellowship of the Ring,The Lord of the rings,0.0033476164970540974,0.27777777777777773,3.8702321724709776
Billa,The Lord of the Rings: The Fellowship of the Ring,0.004418853776111409,0.2598425196850394,4.341172118585848
The Dark Knight,The Lord of the rings,0.0032137118371719335,0.32876712328767127,4.580658352075241
The Dark Knight,inception,0.0033476164970540974,0.34246575342465757,3.4749106611078027
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.0034815211569362613,0.4406779661016949,3.3962673383358695
The Lord of the Rings: The Fellowship of the Ring,inception,0.0030798071772897696,0.3709677419354838,3.764112903225806
The Lord of the Rings: The Fellowship of the Ring,inception,0.0030798071772897696,0.38983050847457623,3.9555084745762707
The Intouchables,Comedy nights with Kapil,0.0033476164970540974,0.211864406779661,3.2028408701022437
The Silence of the Lambs,The Lord of the Rings: The Fellowship of the Ring,0.003883235136582753,0.23577235772357724,3.9390334842945744
inception,The Lord of the Rings: The Fellowship of the Ring,0.0030798071772897696,0.21698113207547168,3.6250896965092223
The Dark Knight,inception,0.004017139796464917,0.297029702970297,3.013882910030133
The Intouchables,The Lord of the Rings: The Fellowship of the Ring,0.0033476164970540974,0.2380952380952381,3.9778416959625016
The Intouchables,The Lord of the Rings: The Fellowship of the Ring,0.004418853776111409,0.2,3.341387024608501
inception,The Lord of the Rings: The Fellowship of the Ring,0.0030798071772897696,0.26136363636363635,4.366585316249745
The Lord of the Rings: The Fellowship of the Ring,The Lord of the rings,0.0034815211569362613,0.2184873949579832,3.044149002884736
The Pianist,The Lord of the Rings: The Fellowship of the Ring,0.0030798071772897696,0.21100917431192662,3.525316585596125
